Agency Type,Destination,Net Sales,Commision (in value),Age,Claim
Travel Agency,MALAYSIA,-29,9.57,81,No
Travel Agency,MALAYSIA,-29,9.57,71,No
Travel Agency,AUSTRALIA,-49.5,29.7,32,No
Travel Agency,AUSTRALIA,-39.6,23.76,32,No
Travel Agency,ITALY,-19.8,11.88,41,No
Airlines,UNITED STATES,-121,42.35,44,No
Travel Agency,UNITED STATES,-39.6,23.76,32,No
Travel Agency,AUSTRALIA,-108.9,65.34,29,No
Travel Agency,THAILAND,-19.8,11.88,44,No
Travel Agency,AUSTRALIA,-99,59.4,37,No
Airlines,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",-26,9.1,118,No
Airlines,MALAYSIA,-18,6.3,47,No
Travel Agency,NORWAY,-130,49.4,48,No
Travel Agency,MALAYSIA,-39.6,23.76,64,No
Travel Agency,VIET NAM,-25,0,36,No
Travel Agency,DENMARK,-19.8,11.88,53,No
Travel Agency,DENMARK,-79.2,47.52,43,No
Travel Agency,UNITED STATES,-29.7,17.82,58,No
Airlines,MALAYSIA,-18,6.3,47,No
Travel Agency,THAILAND,-69.3,41.58,37,No
Travel Agency,NORWAY,-108.9,65.34,32,No
Airlines,SINGAPORE,46.15,11.54,44,No
Airlines,SINGAPORE,17.55,4.39,25,No
Airlines,SINGAPORE,94,23.5,34,Yes
Airlines,SINGAPORE,294.75,73.69,26,No
Airlines,SINGAPORE,389,97.25,30,No
Travel Agency,UNITED STATES,9.9,5.94,33,No
Travel Agency,UNITED STATES,9.9,5.94,33,No
Travel Agency,JAPAN,69.3,41.58,35,No
Travel Agency,UNITED KINGDOM,19.8,11.88,31,No
Travel Agency,UNITED KINGDOM,29.7,17.82,61,No
Travel Agency,AUSTRALIA,0,41.58,31,No
Travel Agency,AUSTRALIA,89.1,53.46,33,No
Travel Agency,INDONESIA,25,0,36,No
Travel Agency,MALAYSIA,24,0,36,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,INDIA,27,0,36,No
Travel Agency,THAILAND,20,0,44,No
Travel Agency,CHINA,43,0,36,No
Travel Agency,FRANCE,78,0,36,No
Travel Agency,INDONESIA,20,0,36,No
Travel Agency,"TAIWAN, PROVINCE OF CHINA",22,0,20,No
Travel Agency,VIET NAM,27,0,46,No
Travel Agency,SINGAPORE,41,0,36,No
Travel Agency,UNITED STATES,95,0,49,No
Travel Agency,THAILAND,20,0,50,No
Travel Agency,MALAYSIA,20,0,36,No
Travel Agency,THAILAND,35,0,36,No
Travel Agency,PHILIPPINES,43,0,36,No
Travel Agency,INDONESIA,20,0,62,No
Travel Agency,MYANMAR,47,0,36,No
Travel Agency,CHINA,29,0,36,No
